window,pinball,PICP90,PICP50,width90,below_q05,above_q95
20d,0.36038830418888657,0.025191675794085433,0.01095290251916758,0.09950681959554165,0.3964950711938664,0.5783132530120482
60d,0.334806502998321,0.06717226435536294,0.02925243770314193,0.11947528419010059,0.4528710725893825,0.4799566630552546
120d,0.31024008295605526,0.04823151125401929,0.01714898177920686,0.11500177616970586,0.5434083601286174,0.40836012861736337
