window,pinball_mean,pinball_std,pinball_min,pinball_max,best_seed,ensemble_pinball
20d,0.16929207146167755,0.002957688669328021,0.16515213251113892,0.17433004081249237,13,0.16806676983833313
60d,0.18426314741373062,0.014524724680200263,0.16435319185256958,0.20609743893146515,42,0.1767912060022354
120d,0.19831757992506027,0.016271012859658283,0.1754189431667328,0.23987212777137756,0,0.1922718733549118
