window,picp_q05,picp_q25,picp_q50,picp_q75,picp_q95,picp90,picp50,winkler90,winkler50,width90,width50
20d,0.0734,0.2694,0.4699,0.6922,0.9135,0.8401,0.4228,1.990955,1.700128,1.868451,0.722156
60d,0.0834,0.2849,0.4821,0.6782,0.8873,0.8039,0.3933,1.920452,1.800851,1.759077,0.670149
120d,0.1683,0.284,0.4159,0.5745,0.7631,0.5949,0.2905,1.63155,1.911542,1.335469,0.5179
